Équipement,ID d'équipement,Données performance,Période statistique,Heure de début stats,Valeur,Unité,
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-12-28 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-12-28 00:00:00, 145269.53, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-12-28 00:00:00, 5634,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-12-28 00:00:00, 5538,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-12-28 00:00:00, 13.18, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-12-28 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-12-28 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-12-28 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-12-28 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-12-28 00:00:00, 43, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-12-28 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-12-28 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-12-28 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-12-28 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-12-28 00:00:00, 451.27, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-12-28 00:00:00, 509.12, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-12-29 00:00:00, 109174.414, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-12-29 00:00:00, 272117.219, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-12-29 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-12-29 00:00:00, 145269.53, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-12-29 00:00:00, 5635,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-12-29 00:00:00, 5539,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-12-29 00:00:00, 12.25, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-12-29 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-12-29 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-12-29 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-12-29 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-12-29 00:00:00, 42, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-12-29 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-12-29 00:00:00, 34, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-12-29 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-12-29 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-12-29 00:00:00, 21.57, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-12-29 00:00:00, 394.70, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-12-30 00:00:00, 109221.742, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-12-30 00:00:00, 272235.188, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-12-30 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-12-30 00:00:00, 145572.11, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-12-30 00:00:00, 5644,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-12-30 00:00:00, 5548,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-12-30 00:00:00, 17.73, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-12-30 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-12-30 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-12-30 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-12-30 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-12-30 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-12-30 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-12-30 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-12-30 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-12-30 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-12-30 00:00:00, 569.81, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-12-30 00:00:00, 347.63, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-12-31 00:00:00, 109441.891, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-12-31 00:00:00, 272783.906, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-12-31 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-12-31 00:00:00, 145824.52, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-12-31 00:00:00, 5646,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-12-31 00:00:00, 5550,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-12-31 00:00:00, 12.43, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-12-31 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-12-31 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-12-31 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-12-31 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-12-31 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-12-31 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-12-31 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-12-31 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-12-31 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-12-31 00:00:00, 479.78, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-12-31 00:00:00, 499.43, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-01-01 00:00:00, 109647.938, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-01-01 00:00:00, 273297.469, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-01-01 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-01-01 00:00:00, 146068.14, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-01-01 00:00:00, 5649,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-01-01 00:00:00, 5553,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-01-01 00:00:00, 13.22, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-01-01 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-01-01 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-01-01 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-01-01 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-01-01 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-01-01 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-01-01 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-01-01 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-01-01 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-01-01 00:00:00, 426.72, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-01-01 00:00:00, 489.90, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-01-02 00:00:00, 109862.602, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-01-02 00:00:00, 273832.531, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-01-02 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-01-02 00:00:00, 146249.02, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-01-02 00:00:00, 5651,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-01-02 00:00:00, 5555,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-01-02 00:00:00, 13.27, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-01-02 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-01-02 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-01-02 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-01-02 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-01-02 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-01-02 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-01-02 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-01-02 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-01-02 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-01-02 00:00:00, 432.11, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-01-02 00:00:00, 493.93, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-01-03 00:00:00, 110074.000, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-01-03 00:00:00, 274359.438, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-01-03 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-01-03 00:00:00, 146412.03, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-01-03 00:00:00, 5652,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-01-03 00:00:00, 5556,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-01-03 00:00:00, 13.10, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-01-03 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-01-03 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-01-03 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-01-03 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-01-03 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-01-03 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-01-03 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-01-03 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-01-03 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-01-03 00:00:00, 438.70, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-01-03 00:00:00, 494.22, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-01-04 00:00:00, 110304.742, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-01-04 00:00:00, 274934.562, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-01-04 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-01-04 00:00:00, 146581.41, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-01-04 00:00:00, 5654,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-01-04 00:00:00, 5558,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-01-04 00:00:00, 15.78, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-01-04 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-01-04 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-01-04 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-01-04 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-01-04 00:00:00, 43, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-01-04 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-01-04 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-01-04 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-01-04 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-01-04 00:00:00, 458.58, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-01-04 00:00:00, 512.38, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-01-05 00:00:00, 110503.391, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-01-05 00:00:00, 275429.688, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-01-05 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-01-05 00:00:00, 146785.25, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-01-05 00:00:00, 5661,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-01-05 00:00:00, 5565,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-01-05 00:00:00, 11.33, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-01-05 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-01-05 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-01-05 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-01-05 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-01-05 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-01-05 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-01-05 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-01-05 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-01-05 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-01-05 00:00:00, 425.80, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-01-05 00:00:00, 484.67, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-01-06 00:00:00, 110680.055, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-01-06 00:00:00, 275870.031, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-01-06 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-01-06 00:00:00, 146937.31, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-01-06 00:00:00, 5665,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-01-06 00:00:00, 5569,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-01-06 00:00:00, 13.02, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-01-06 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-01-06 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-01-06 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-01-06 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-01-06 00:00:00, 43, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-01-06 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-01-06 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-01-06 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-01-06 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-01-06 00:00:00, 399.15, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-01-06 00:00:00, 458.19, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-01-07 00:00:00, 110878.141, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-01-07 00:00:00, 276363.750, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-01-07 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-01-07 00:00:00, 147101.33, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-01-07 00:00:00, 5667,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-01-07 00:00:00, 5571,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-01-07 00:00:00, 13.37, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-01-07 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-01-07 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-01-07 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-01-07 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-01-07 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-01-07 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-01-07 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-01-07 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-01-07 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-01-07 00:00:00, 422.81, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-01-07 00:00:00, 481.98, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-01-08 00:00:00, 111008.000, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-01-08 00:00:00, 276687.438, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-01-08 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-01-08 00:00:00, 147101.33, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-01-08 00:00:00, 5668,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-01-08 00:00:00, 5572,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-01-08 00:00:00, 12.48, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-01-08 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-01-08 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-01-08 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-01-08 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-01-08 00:00:00, 43, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-01-08 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-01-08 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-01-08 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-01-08 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-01-08 00:00:00, 22.08, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-01-08 00:00:00, 349.36, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-01-09 00:00:00, 111130.367, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-01-09 00:00:00, 276992.438, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-01-09 00:00:00, 40.217,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2022-01-09 00:00:00, 147490.11, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2022-01-09 00:00:00, 5670,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2022-01-09 00:00:00, 5574,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2022-01-09 00:00:00, 13.45, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2022-01-09 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2022-01-09 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2022-01-09 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2022-01-09 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2022-01-09 00:00:00, 43, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2022-01-09 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2022-01-09 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2022-01-09 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2022-01-09 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2022-01-09 00:00:00, 516.86, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2022-01-09 00:00:00, 322.83, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2022-01-10 00:00:00, 111304.523, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2022-01-10 00:00:00, 277426.531, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2022-01-10 00:00:00, 40.217,  
