Équipement,ID d'équipement,Données performance,Période statistique,Heure de début stats,Valeur,Unité,
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2019-08-28 00:00:00, 0.18, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-01-30 00:00:00, 6.037, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-01-30 00:00:00, 15.047, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-01-30 00:00:00, 0.268,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-01-30 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-01-30 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-01-30 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-01-30 00:00:00, 32, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-01-30 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-01-30 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-01-30 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-01-30 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2020-01-30 00:00:00, 0.00, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2020-01-30 00:00:00, 0.91, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2020-02-15 00:00:00, 18.452, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2020-02-15 00:00:00, 45.992, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2020-02-15 00:00:00, 1.641,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2020-02-15 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2020-02-15 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2020-02-15 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2020-02-15 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2020-02-15 00:00:00, 29, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2020-02-15 00:00:00, 34, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2020-02-15 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2020-02-15 00:00:00, 0.00, h
